fighter_id;fighter_alternate_id;category;draws;imgUrl;losses;name;nickname;wins;status;placeOfBirth;trainsAt;fightingStyle;age;height;weight;octagonDebut;reach;legReach
;alexander-volkanovski;Featherweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/VOLKANOVSKI_ALEXANDER_L_02-17.png?itok=n9TnCDKb;4;Alexander Volkanovski;The Great;26;Active;Wollongong, Australia;Freestyle Fighting Gym;;36;167.64000000000001;144.50;Oct. 15, 2016;181.61;91.44
;leon-edwards;Welterweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/EDWARDS_LEON_L_08-20.png?itok=kVEURjwd;4;Leon Edwards;Rocky;22;Active;Kingston, Jamaica;UTC Ultimate Training Centre Birmingham;MMA;33;182.88;185.20;Nov. 9, 2014;187.96;109.22
;max-holloway;Featherweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-04/HOLLOWAY_MAX_L_04-13.png?itok=U9IB8OUQ;8;Max Holloway;Blessed;26;Active;Oahu, United States;Gracie Technics;Muay Thai;32;180.34;145.00;Feb. 4, 2012;175.26;106.68
;sean-omalley;Bantamweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/OMALLEY_SEAN_L_08-19.png?itok=PZizstP4;2;Sean O'Malley;Suga;18;Active;Helena, United States;MMA LAB - Glendale, AZ;;30;180.34;135.00;Jul. 18, 2017;182.88;101.6
;charles-oliveira;Lightweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/OLIVEIRA_CHARLES_L_11-16.png?itok=ReesBWpC;10;Charles Oliveira;Do Bronxs;35;Active;State of Sao Paulo, Brazil;Bronx's Gold Team;Jiu-Jitsu;35;177.8;155.60;Aug. 1, 2010;187.96;104.14
;brandon-royval;Flyweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/ROYVAL_BRANDON_L_10-12.png?itok=FFq8GMSE;7;Brandon Royval;Raw Dawg;17;Active;Denver, United States;Mile High Militia;Brawler;32;175.26;125.50;May. 30, 2020;172.72;97.79
;brandon-moreno;Flyweight;2;https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-07/MORENO_BRANDON_L_06-12.png?itok=-Gi9L7O0;8;Brandon Moreno;The Assassin Baby;22;Active;Tijuana, Mexico;Team Moreno;Jiu-Jitsu;30;170.18;135.00;Oct. 2, 2016;177.8;96.52
;amir-albazi;Flyweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/ALBAZI_AMIR_L_06-03.png?itok=lINX3P39;2;Amir Albazi;The Prince;17;Active;Baghdad, Iraq;Fight Ready - Scottsdale, AZ;Jiu-Jitsu;31;165.1;125.50;Jul. 18, 2020;172.72;96.52
;kai-kara-france;Flyweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/KARA-FRANCE_KAI_L_08-17.png?itok=fuxhY3Uc;11;Kai Kara-France;Don't Blink;25;Active;Auckland, New Zealand;City Kickboxing;Kickboxer;31;162.56;125.00;Dec. 2, 2018;175.26;93.98
;tatsuro-taira;Flyweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/TAIRA_TATSURO_L_12-09.png?itok=J7CAHwZY;1;Tatsuro Taira;;16;Active;Japan;;;25;170.18;125.50;Apr. 30, 2022;177.8;96.52
;manel-kape;Flyweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-02/KAPE_MANEL_L_03-01.png?itok=XCXGNjBu;7;Manel Kape;StarBoy;21;Active;Angola;Xtreme Couture - Las Vegas, NV;MMA;31;165.1;126.00;Feb. 6, 2021;172.72;99.06
;alex-perez;Flyweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/PEREZ_ALEX_L_06-15.png?itok=8UdkdbV_;9;Alex Perez;;25;Active;Hanford, United States;Syndicate MMA;Freestyle;32;167.64000000000001;126.00;Aug. 8, 2017;166.37;96.52
;steve-erceg;Flyweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/ERCEG_STEVEN_L_08-17.png?itok=70FrgDdE;3;Steve Erceg;Astroboy;12;Active;Perth, Australia;;MMA;29;172.72;125.50;May. 20, 2023;172.72;96.52
;asu-almabayev;Flyweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/ALMABAYEV_ASU_L_06-15.png?itok=hc7pheyp;3;Asu Almabayev;Zulfikar;21;Active;Kazakhstan;Dar Team;Jiu-Jitsu;31;162.56;126.00;Aug. 5, 2023;165.1;91.44
;tim-elliott;Bantamweight;1;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/ELLIOTT_TIM_L_12-09.png?itok=S3JE_8wz;13;Tim Elliott;;21;Active;United States;;Freestyle;38;170.18;136.00;May. 5, 2012;167.64000000000001;96.52
;tagir-ulanbekov;Flyweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/7/ULANBEKOV_TAGIR_L_01-18.png?itok=YiMfwSGb;2;Tagir Ulanbekov;;16;Active;Dagestan, Russia;AKA / Eagles MMA;Wrestling;33;170.18;125.50;Oct. 10, 2020;177.8;99.06
;bruno-silva;Flyweight;2;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/SILVA_BRUNO_L_03-11.png?itok=fy1akIMY;6;Bruno Silva;Bulldog;14;Active;Piracicaba, Brazil;American Top Team;Grappler;35;162.56;126.00;Sep. 7, 2019;165.1;88.9
;ramazan-temirov;Flyweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-11/TEMIROV_RAMAZAN_L_10-12.png?itok=2VOhqMJi;3;Ramazan Temirov;Temurlan;19;Active;Karshi, Uzbekistan;Legion Gym;Striker;28;162.56;125.50;Oct. 12, 2024;160.02;91.44
;charles-johnson;Flyweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-02/JOHNSON_CHARLES_L_03-01.png?itok=QVSACMPe;7;Charles Johnson;Inner G;17;Active;Topeka, United States;Murcielago MMA;;34;175.26;125.00;Jul. 23, 2022;177.8;101.6
;joshua-van;Flyweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-03/VAN_JOSHUA_L_03-08.png?itok=hzN9x1s3;2;Joshua Van;The Fearless;14;Active;Hakha , Myanmar;4oz Fight Club;Freestyle;23;165.1;125.50;Jun. 24, 2023;165.1;88.9
;petr-yan;Bantamweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/YAN_PETR_L_11-23.png?itok=isjcRLJt;5;Petr Yan;No Mercy;18;Active;Krasnoyarsk Krai, Russia;Team Yan;Boxer;32;171.45;135.50;Jun. 23, 2018;170.18;96.52
